시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타_1,공작물충돌,도로이탈,전도전복,기타_2,횡단중_3,차도통행중_4,길가장자리구역통행중_5,보도통행중_6,기타_7,충돌_8,추돌_9,기타_10,공작물충돌_11,도로이탈_12,전도전복_13,기타_14,횡단중_16,차도통행중_17,길가장자리구역통행중_18,보도통행중_19,기타_20,충돌_21,추돌_22,기타_23,공작물충돌_24,도로이탈_25,전도전복_26,기타_27,횡단중_29,차도통행중_30,길가장자리구역통행중_31,보도통행중_32,기타_33,충돌_34,추돌_35,기타_36,공작물충돌_37,도로이탈_38,전도전복_39,기타_40,횡단중_42,차도통행중_43,길가장자리구역통행중_44,보도통행중_45,기타_46,충돌_47,추돌_48,기타_49,공작물충돌_50,도로이탈_51,전도전복_52,기타_53
경남,창녕군,부상[명],14,1,-,-,33,211,71,140,17,1,4,8,5,-,1,-,35,201,69,158,14,6,10,14,5,2,2,1,26,115,75,123,16,1,5,9,5,2,3,3,14,140,78,63,8,-,5,7,12,10,1,2,11,145,57,56,6,2,2,4
경남,양산시,사고[건],102,13,7,5,101,580,186,236,20,5,7,24,87,10,4,8,96,532,178,266,16,4,4,35,92,15,-,10,62,784,201,109,18,1,6,20,81,26,6,11,64,612,192,192,22,1,7,18,101,33,6,9,41,663,201,196,21,3,10,20
경남,양산시,사망[명],6,0,0,0,6,2,3,2,4,1,0,1,2,0,1,1,3,3,3,4,0,0,0,2,5,1,-,0,1,3,2,2,6,0,0,0,6,0,0,0,1,3,1,3,4,0,0,0,4,1,0,0,1,3,1,1,4,1,1,0
경남,양산시,부상[명],101,14,7,5,102,895,336,332,22,4,7,26,89,12,3,7,95,735,319,373,20,5,4,37,95,14,-,11,65,1075,334,150,14,1,10,27,82,26,6,11,66,796,320,256,19,1,7,18,103,33,6,10,47,912,326,265,23,2,9,21
경남,고성군,사고[건],14,20,3,4,8,93,44,65,5,2,2,6,8,10,-,9,8,98,43,55,9,3,4,10,16,9,3,3,14,87,48,12,5,3,4,5,16,20,2,2,5,74,42,23,11,5,1,7,14,13,3,3,9,82,21,24,7,3,6,7
경남,고성군,사망[명],0,1,0,1,1,2,1,1,1,1,1,0,1,0,-,0,0,1,1,4,2,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,4,2,0,0,4,0,2,0,1,0,0,1,1,0,0,0,0,0,1
경남,고성군,부상[명],15,21,3,3,7,135,86,96,9,1,1,6,8,10,-,10,8,144,75,90,9,3,7,16,13,9,3,3,15,120,68,22,8,2,3,7,15,20,2,2,6,103,64,32,13,2,1,5,16,12,5,3,10,127,34,36,10,3,7,8
경남,사천시,사고[건],69,25,13,5,40,322,92,62,17,5,3,15,49,17,8,1,40,319,97,50,21,4,8,10,33,11,7,-,41,305,102,56,23,4,4,11,34,6,4,2,54,281,87,92,13,2,6,11,43,8,9,3,41,278,88,60,7,1,6,7
경남,사천시,사망[명],3,1,0,0,1,3,0,1,1,1,0,0,1,2,0,0,1,2,2,1,1,0,0,1,4,2,0,-,1,3,2,0,3,0,1,0,2,0,0,0,1,4,0,0,0,0,1,0,0,1,1,0,2,6,5,0,0,0,1,1
경남,사천시,부상[명],71,25,14,7,39,530,221,85,21,5,3,20,50,16,9,1,39,525,190,85,27,6,8,13,29,9,7,-,40,479,206,84,26,4,3,15,34,6,5,2,57,453,178,144,18,2,6,16,43,7,8,3,40,407,162,78,10,1,6,7
경남,남해군,사고[건],15,14,6,2,6,86,20,6,18,12,6,1,9,7,6,-,6,105,36,2,14,10,9,3,13,13,5,1,8,94,20,5,20,5,7,3,8,16,3,-,6,90,18,3,9,9,4,1,8,11,5,-,12,60,17,8,12,4,6,5
경남,남해군,사망[명],2,0,0,0,0,2,0,0,1,3,0,0,2,1,0,-,0,1,0,0,1,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,2,1,0,-,1,2,1,0,3,0,0,0,2,1,0,-,0,1,0,0,2,0,0,0
경남,남해군,부상[명],13,14,6,3,8,143,37,7,39,13,13,1,7,6,6,-,6,175,67,2,13,12,10,3,14,12,5,1,8,147,37,8,26,6,8,3,8,15,4,-,5,165,44,3,11,16,4,1,7,11,5,-,14,103,32,10,12,5,6,6
경남,하동군,사고[건],10,3,3,1,9,74,16,7,8,3,7,2,3,5,3,-,8,56,16,9,3,2,4,7,3,8,-,-,12,31,19,16,2,5,4,2,2,5,3,4,9,59,16,15,5,5,2,2,6,4,3,1,23,26,14,30,-,-,1,10
경남,하동군,사망[명],3,0,1,0,1,3,1,1,0,1,0,0,1,1,0,-,0,0,1,0,1,1,2,3,0,1,-,-,2,2,1,0,0,1,2,0,0,0,0,0,1,1,2,2,1,1,1,0,1,1,1,0,1,0,0,2,-,-,0,3
경남,하동군,부상[명],7,4,2,1,8,109,31,13,13,5,10,2,2,4,3,-,8,88,22,11,2,1,2,5,3,7,-,-,16,38,30,27,2,4,2,3,2,5,3,4,10,84,36,28,4,8,1,3,5,3,2,1,22,43,27,38,-,-,1,11
경남,산청군,사고[건],11,8,1,2,5,85,26,10,9,8,6,2,5,4,3,2,5,86,29,14,19,8,5,3,8,2,2,-,9,87,25,14,19,7,2,5,3,4,2,1,15,51,21,23,9,9,3,10,12,6,1,-,11,88,33,11,15,6,9,8
경남,산청군,사망[명],0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,3,0,1,1,0,0,0,0,0,1,-,1,3,3,0,5,0,0,1,1,1,0,0,0,1,2,0,2,1,0,0,0,1,0,-,1,3,1,1,2,0,1,0
경남,산청군,부상[명],11,8,1,2,5,156,54,20,11,21,6,2,3,4,3,2,3,151,59,20,30,9,7,3,8,2,1,-,8,157,42,29,44,7,2,4,2,3,2,1,15,100,35,45,8,10,3,13,12,5,1,-,10,151,65,12,14,7,8,9
경남,함양군,사고[건],8,12,2,3,5,95,25,9,10,11,15,6,8,9,1,2,9,73,15,9,12,4,5,5,12,6,4,-,5,89,18,15,12,3,3,7,11,13,2,3,15,88,17,15,13,8,8,3,12,4,1,3,15,72,25,16,14,11,10,7
경남,함양군,사망[명],0,1,0,0,0,1,0,2,0,2,1,0,0,0,0,0,2,1,2,0,0,0,2,0,0,2,0,-,0,1,1,0,4,1,0,0,1,3,1,0,1,2,0,0,1,0,1,1,2,2,0,0,0,4,2,3,1,0,0,0
