사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-07,2호선,0228,서울대입구(관악구청),5633,28,29740,2692,46836,15428,137880,29233,185147,72537,122161,61885,69907,50003,59391,46587,67048,49585,70597,54291,61078,58344,64636,65797,72537,77556,83095,109726,93464,186565,54163,140725,48267,87963,47748,84856,40998,85302,21816,48660,4074,18640,0,3736,0,0,0,0
2024-07,2호선,0229,봉천,53,3,16713,1482,31527,7821,91157,14044,129057,30554,78134,23496,42883,20732,34529,22455,37681,25996,35244,27170,31454,29376,31585,37984,32982,43697,33045,60768,34804,97644,21486,77120,17991,47064,15415,44861,11413,41846,4673,25060,991,7927,3,510,0,0,0,0
2024-07,2호선,0230,신림,214,22,38580,4045,73289,17531,196109,29172,282930,47620,168856,44523,92097,42001,74277,45456,78979,51085,74913,58411,68613,63665,67722,79871,74256,98119,78170,137052,81344,236271,55412,193771,46540,123525,44717,121581,37708,111850,21691,69596,4784,22900,5,327,0,0,0,0
2024-07,2호선,0231,신대방,327,12,25844,2097,36916,9450,95042,15283,139137,26690,85186,18910,45246,18928,35723,19624,35427,22929,33646,26781,29870,30104,29526,39658,32578,46445,34572,63022,33570,99337,21640,81092,17182,56857,13094,59387,10319,55642,4957,30612,979,9779,9,80,0,0,0,0
2024-07,2호선,0232,구로디지털단지,442,37,40070,5138,56309,20655,150376,91997,193477,242622,118031,146936,69179,60408,60984,46318,67867,50696,67422,62493,62312,60852,68621,67392,84118,81754,144922,113610,219016,173231,103542,134776,65911,87475,55902,85482,42117,83949,19329,47315,3561,14912,2,74,0,0,0,0
2024-07,2호선,0233,대림(구로구청),967,27,35971,3478,30245,11022,70313,23639,100992,57404,63231,36882,41180,33148,34372,33703,36394,32390,34308,32842,31918,33899,33169,42270,37940,49037,45033,60962,52558,72837,27075,53724,20288,40909,15220,50970,11651,45401,5483,22536,837,6233,0,121,0,0,0,0
2024-07,2호선,0234,신도림,4054,8,38973,5101,57575,21019,146491,47502,157139,119531,91769,76469,61285,62481,60082,65367,68317,65471,70289,70779,73879,66441,77553,75520,87169,90582,110914,124315,134559,192521,76292,127773,69696,74900,63154,71050,58871,68116,23850,47320,2875,20235,19,2849,0,0,0,0
2024-07,2호선,0235,문래,19,0,4419,2742,16028,11517,47959,43170,54413,149899,28819,69355,20309,28739,21109,23788,25530,26255,25718,27674,26492,25150,29589,26933,36907,31211,69717,43402,125343,68655,42300,45327,31133,23170,33186,21159,26512,18565,12516,10694,2271,3623,0,106,0,0,0,0
2024-07,2호선,0236,영등포구청,38,3,5654,3292,14409,17494,43639,41847,54059,133279,32350,55809,23687,28240,24562,25367,27477,27046,28478,28643,30049,25582,32639,27400,40237,31200,60934,41195,109686,63218,38460,40722,29571,24160,27779,21818,20431,19554,9240,12781,1723,4471,2,101,0,0,0,0
2024-07,2호선,0237,당산,35,6,7656,3624,18338,13386,47439,30757,57778,81446,34005,34653,22806,17576,21726,16615,22316,18274,21491,20422,19916,20598,21474,23553,27145,30486,43911,47940,60129,76845,25726,50186,20335,32576,20162,31831,17514,29939,8650,18224,1475,4856,1,89,0,0,0,0
2024-07,2호선,0238,합정,83,11,9917,2819,19755,13634,46636,34124,56823,104132,37777,88859,28240,54904,30074,50803,36585,54830,40438,60743,44111,55824,48232,56136,58549,66394,81446,87294,122738,121453,79126,80989,65459,44401,74837,36281,68722,32402,36704,22012,6665,8245,0,83,0,0,0,0
2024-07,2호선,0239,홍대입구,898,22,27298,3740,32242,19407,65571,43447,84775,117303,63272,138915,58699,117101,67348,142452,78723,166589,92682,180962,103105,171575,124991,170993,154965,178210,187583,204797,220504,245334,180490,176918,181553,110300,208778,87110,197719,73419,98639,51293,13291,18586,7,2278,0,0,0,0
2024-07,2호선,0240,신촌,48,5,6986,3093,15327,17122,39441,38868,57879,87845,41392,100082,39779,67047,48775,63174,62118,66241,65525,79272,65640,64359,77144,62324,88522,68438,105016,87124,100596,118171,70164,77533,71988,47593,76442,43176,72127,39527,31960,25503,5788,6901,1,83,0,0,0,0
2024-07,2호선,0241,이대,33,0,3521,815,10543,6984,31851,15045,41636,48954,24868,33918,19481,25313,21203,22591,26794,26005,26527,26767,24645,24018,28324,25175,31703,27387,44559,35961,39426,48979,23554,35699,20010,25277,18421,24582,15677,25026,5507,16503,840,4955,0,40,0,1,0,0
2024-07,2호선,0242,아현,30,1,5256,1047,12038,4501,33383,11870,45872,22970,26441,13561,18265,10476,17199,10581,18713,12050,17227,14298,15641,14631,17437,16728,21279,19180,20913,26809,21381,36975,12818,26421,10177,17460,7578,17522,5150,16061,2254,8890,384,2842,1,22,0,0,0,0
2024-07,2호선,0243,충정로(경기대입구),35,1,3491,1103,7237,6954,17652,27107,23767,68628,15832,30250,12156,12886,13078,11077,13614,11217,13435,13525,13370,11438,14436,11914,17798,13393,35261,18029,52097,23486,16017,15825,11141,11046,9997,10878,7153,9779,3209,6040,683,1834,1,45,0,0,0,0
2024-07,2호선,0244,용답,7,0,2567,362,3733,1416,9001,1987,15280,3325,7888,3029,5538,2322,4518,2434,4462,2892,4537,3234,4093,3544,3982,4450,4771,5701,5060,6876,4077,12210,2563,8114,1887,5583,1449,6374,1038,6055,489,3419,139,1272,0,5,0,0,0,0
2024-07,2호선,0245,신답,13,0,1409,116,2274,853,6581,945,12159,1814,4697,1162,2693,1054,1950,1234,2033,1424,2051,1480,1822,1839,1823,2743,2126,3573,2349,5068,2069,10565,1119,6767,699,3694,503,3792,414,3142,189,2055,51,576,0,1,0,0,0,0
2024-07,2호선,0246,신설동,56,1,1242,330,1535,2133,5671,5135,9056,13688,5614,9256,4749,7818,6026,6853,7370,6972,7667,7275,7599,5988,8476,5446,9139,5157,11395,5813,12996,7850,4717,5662,3218,3818,2640,3323,1826,3279,721,2215,127,800,0,156,0,0,0,0
2024-07,2호선,0247,도림천,0,0,464,409,1567,1014,3451,3802,3714,5896,2571,2607,2267,1775,1977,1409,2764,2194,1969,1675,2495,1934,2479,2017,2841,2125,3203,2647,3955,3709,1712,2935,1133,1997,918,1784,571,1339,196,897,57,325,0,8,0,0,0,0
2024-07,2호선,0248,양천구청,34,3,5247,975,13114,2471,34196,5089,31573,10617,17370,5808,11655,4744,10285,5583,11430,7651,9757,8420,7902,8532,7933,10896,8951,13605,9394,20316,9605,32052,4441,25818,3146,14970,2741,13419,2542,11122,948,8144,196,2487,0,25,0,0,0,0
2024-07,2호선,0249,신정네거리,81,4,9307,962,19083,2835,52359,4851,47028,12310,25294,8945,17048,7659,15002,9364,16037,10603,14691,12265,12533,13060,11833,16611,13091,22365,13173,32034,11870,52533,7531,36894,5748,20712,4546,17952,3608,16646,1670,10311,405,3070,2,143,0,0,0,0
2024-07,2호선,0250,용두(동대문구청),80,2,1098,140,1875,1056,6294,2899,9917,6025,5381,3898,3818,3594,4058,3942,4305,3500,4415,4198,4434,4219,4583,4957,5226,4996,5634,5807,6039,9355,2844,6292,1912,3505,1928,3475,970,2628,353,1606,55,507,0,4,0,0,0,0
2024-07,3호선,0309,지축,7,0,3541,546,13365,7840,34319,6507,34408,12066,17568,7499,11637,6333,10011,6448,10202,7819,10556,8882,9278,8618,10736,10312,12532,13573,12851,19206,11211,32794,7297,24982,5833,16211,4993,13919,4102,12067,1786,6745,339,1241,0,0,0,0,0,0
2024-07,3호선,0310,구파발,140,3,13249,1651,38730,10900,92948,22866,89394,30716,47339,27201,32260,28201,31369,28464,32717,28944,31251,31902,31955,30873,35665,32215,41220,38605,41150,50290,32678,82623,20971,69321,17857,37843,16051,33179,11617,29955,3416,19504,675,8160,1,419,0,0,0,0
2024-07,3호선,0311,연신내,321,10,26911,2051,52904,12817,127757,22264,148538,37912,83868,34962,56236,34210,53145,35527,58118,38417,51707,41482,46447,44729,49323,54838,54538,64228,52738,84517,47771,133855,33788,111606,28056,64660,23898,58260,19249,52405,9169,33117,1535,11557,1,8,0,0,0,0
